record_id,normalized_note,synthesis_source,content_provenance,full_text_status,claim_use_status,source_bytes,source_lines,source_sha256
12,notes/papers/0012.md,notes/original_sources/0012.md,current-cycle full-text remediation and verification of the historical paper-specific note,current-cycle full text independently read and title-checked from the ICLR/arXiv version,paper-specific note ready for synthesis,5177,70,b12f60b67f1878766f45f08163553a023a3674acff67140f9ddc01eafb6e908b
13,notes/papers/0013.md,notes/original_sources/0013.md,current-cycle full-text remediation and verification of historical note,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,paper-specific note ready for synthesis,5387,58,6a6548e377628c3cbb8aeea1272a842d942a930eeca69a5e2c10687e468681c0
14,notes/papers/0014.md,notes/original_sources/0014.md,current-cycle full-text remediation and verification of historical note,current-cycle full text independently read and title-checked from the 67-page JMLR paper,paper-specific note ready for synthesis,5509,70,e29de13fdb6493251390cdc0b564510dc641ca33426f6ded428e079a698a6c49
17,notes/papers/0017.md,notes/original_sources/0017.md,current-cycle full-text remediation replacing templated historical note,current-cycle full text independently read and title-checked from the 10-page ACL paper,paper-specific note ready for synthesis,11950,123,77e6820edff1a3399b904bb16e8a2f85a5f109da71754602e1cc04e4dff56d27
19,notes/papers/0019.md,notes/original_sources/0019.md,current-cycle full-text remediation replacing prospective template text,current-cycle full text independently read and title-checked from the ICLR/arXiv paper,paper-specific note ready for synthesis,3228,35,02f4a9cac7fd990ff5202ed9f8e8cf9645edbf16f6e9874489758d8c066ece2f
20,notes/papers/0020.md,notes/original_sources/0020.md,current-cycle full-text remediation replacing prospective template text,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,paper-specific note ready for synthesis,3420,36,16bb613eb0cd727cd18ba8ab80001c3483695cca140c428e942eb8685dc01c9f
21,notes/papers/0021.md,notes/original_sources/0021.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,3447,68,e910b535c24324ab41171bb0dce81bd8c06a88aeb933515274a81c89e0d5b3fc
22,notes/papers/0022.md,notes/original_sources/0022.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,3405,68,f003b2d1beb0b4e7ab94fa205704fc779f0878482d7d78bbfb5458bb3fe5be44
23,notes/papers/0023.md,notes/original_sources/0023.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,3398,68,43e7ec4a9c452eb2436dd7efce5ebf71b2c0e8c130096431ee226b15d264f94a
24,notes/papers/0024.md,notes/original_sources/0024.md,current-cycle full-text remediation replacing prospective template text,current-cycle full text independently read and title-checked from the NeurIPS paper,paper-specific note ready for synthesis,3672,38,1dbc9ebaddc88e6e723d4d9b35cbd3ad9ba0771c93c9b50cce972aa57e1664dc
25,notes/papers/0025.md,notes/original_sources/0025.md,current-cycle full-text remediation replacing prospective template text,current-cycle full text independently read and title-checked from the TMLR/arXiv version,paper-specific note ready for synthesis,3796,40,23f9628e38e32eda24a6dc26918908872d446206874b53e8a668a10a6205cada
26,notes/papers/0026.md,notes/original_sources/0026.md,current-cycle full-text remediation replacing prospective template text,current-cycle full text independently read and title-checked from the ICML/PMLR paper,paper-specific note ready for synthesis,3840,38,21a87ac1e93519423279118bbb0d135ff21fe2742a0e46537d89a9899538e150
27,notes/papers/0027.md,notes/original_sources/0027.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,3515,68,9e81cb2f0c79b1c9e19d4ee98a4c85d49f6f18a4b8851fd2970d076871176573
28,notes/papers/0028.md,notes/original_sources/0028.md,current-cycle full-text remediation replacing prospective template text,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,paper-specific note ready for synthesis,3846,40,c1e37a36be3e051c9dac638a5d119e562190bc81fe25cc00ce93f15f81b45fb5
30,notes/papers/0030.md,notes/original_sources/0030.md,current-cycle full-text remediation replacing prospective template text,current-cycle full text independently read and title-checked from the ICLR/arXiv version,paper-specific note ready for synthesis,3826,38,5f0dd3c221e83acd172b476a0afaa64442682bae1de1863542438d2f56d9af96
34,notes/papers/0034.md,notes/original_sources/0034.md,current-cycle full-text remediation replacing prospective template text,current-cycle full text independently read and title-checked from the ICLR/arXiv version,paper-specific note ready for synthesis,3598,38,fcc2bc2302ef52ad68abcaa9a22d6f25aff93fa7cb4c510a17e6b87c6155dc95
38,notes/papers/0038.md,notes/original_sources/0038.md,current-cycle full-text remediation replacing prospective template text,current-cycle full text independently read and title-checked from the complete arXiv survey,paper-specific note ready for synthesis,4228,36,93c978c4bfc72cc4728d567df634a89410b55ff7145acbcd40a5cde6ea061e92
39,notes/papers/0039.md,notes/original_sources/0039.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,3793,44,070045ede496185e50fecee32ebd2f7466469c7707a2aacead0df9676cd15265
40,notes/papers/0040.md,notes/original_sources/0040.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,3288,44,d3515adb982feab70fbb6ab4461ffcc66aaa91b7923d480680202239e8f6ac5a
41,notes/papers/0041.md,notes/original_sources/0041.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,3002,44,b051f8b102af1674ebde1c03d0ac6e317dd65a4e9292ad2bb5e2e02b1945f4b8
44,notes/papers/0044.md,notes/original_sources/0044.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,3148,44,f6e25a9ab335daba098ce7b44b57fda4d4ec2d9777f1b0423063700074072c7d
46,notes/papers/0046.md,notes/original_sources/0046.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2938,44,20c9fa4830c11f3b9dfc557a36a540de6219ce7437ef4e25f0afa786078336c9
47,notes/papers/0047.md,notes/original_sources/0047.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2885,43,1f4ebae56bac629a9544f329e14aad7791f7df490c75bb86b18524bd979aab3c
48,notes/papers/0048.md,notes/original_sources/0048.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2982,44,9851c156b66c5eacb81d894ff657e5bef12cf14f637e9f53704ceaa0e01f9976
49,notes/papers/0049.md,notes/original_sources/0049.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2898,44,c3ce334904b7cc4121be04c6e716da09892a6a6204559821df32e28f4a5060b0
50,notes/papers/0050.md,notes/original_sources/0050.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2877,44,8bc034300e1c56e36219fdc1d66ec6b3e006dbc11f3b18ff9ef07de771a91bd8
51,notes/papers/0051.md,notes/original_sources/0051.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2759,44,7fe5d673abe76cede099cca8e9eb6354321deed0f0200cc869742c83298faee0
55,notes/papers/0055.md,notes/original_sources/0055.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2937,43,60ef66e5d4efc27b6402ce85f45fa682418158fdcaf14ee53805fc4609f286b8
57,notes/papers/0057.md,notes/original_sources/0057.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2639,44,b7dcdb88e6e0d54c6527e28a28a74c7042305c28520e17ef34696d1342e6e8fb
58,notes/papers/0058.md,notes/original_sources/0058.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2852,43,ec5e02beb256bbca4990fa9f1d0f74b5bc9029d13036e97d807fbf3e3b1c100a
59,notes/papers/0059.md,notes/original_sources/0059.md,existing paper-specific note preserved after title and coverage audit,existing review archive audited; no current-cycle PDF verification,paper-specific note retained for synthesis,2808,44,8b912a66df2a051eab3619db2d60f9f50745a0bd3138ba4aa2b46713b4707f0d
61,notes/papers/0061.md,notes/original_sources/0061.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2862,44,03863aab2e6fc912d71c07e701d745b1701772f168a7ad874a4d36e58256a4d4
62,notes/papers/0062.md,notes/original_sources/0062.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2828,44,c907ab1e5b0a5a9ba2491e94d406e4cc27586c62ce152dd2cc4d968ff6ced5b9
63,notes/papers/0063.md,notes/original_sources/0063.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2743,44,7c13ef20d10165b00ce003b2c95fcb4a7b78ba18a29747d5fea56f7352004b93
64,notes/papers/0064.md,notes/original_sources/0064.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,3062,44,ef8e0fd3c91467b326968c9b70a1d51c91fb603eb7c50f147cf381bab53fa4ed
65,notes/papers/0065.md,notes/original_sources/0065.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,3023,44,f94543bbd3674687edc64e2cd026c5b4276f5328cfe1eb9ca34eb8736e97d838
68,notes/papers/0068.md,notes/original_sources/0068.md,current-cycle full-text remediation and verification of the historical paper-specific note,current-cycle full text independently read and title-checked from the ICLR/arXiv version,paper-specific note ready for synthesis,5840,74,a4ce34bb1a60af22c3f8c4ebd9a27959ca18a7c8f8eb72f26ca32a866f0c5535
69,notes/papers/0069.md,notes/original_sources/0069.md,current-cycle full-text remediation and verification of the historical paper-specific note,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,paper-specific note ready for synthesis,5647,78,b1340e3021f959625880f94acd427a6fc19ffe445ed22b1d55e744d09ece4568
70,notes/papers/0070.md,notes/original_sources/0070.md,current-cycle full-text remediation and verification of the historical paper-specific note,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,paper-specific note ready for synthesis,5700,81,562c9d7bf8ce874bf044bfb94930468a46a73dbdef2de6c189112a8a132de0af
73,notes/papers/0073.md,notes/original_sources/0073.md,current-cycle full-text remediation and verification of the historical paper-specific note,current-cycle full text independently read and title-checked from the TMLR/arXiv version,paper-specific note ready for synthesis,7036,86,bb97509768cbbefceb1e43dc248b7a1b867f58a682774865501396d1ec14b630
74,notes/papers/0074.md,notes/original_sources/0074.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,5334,38,46286ae6437a1ee81a7f1252fd3dc7d48e08f08738ae0c5bbf0a33941375a8ac
75,notes/papers/0075.md,notes/original_sources/0075.md,current-cycle full-text remediation and verification of the historical paper-specific note,current-cycle full text independently read and title-checked from the ICML/arXiv HTML version,paper-specific note ready for synthesis,6740,81,6a5aa57c6576b4f132e11778d07a27c72b72c2547a4c3f9021abcda825682289
76,notes/papers/0076.md,notes/original_sources/0076.md,current-cycle full-text remediation and verification of the historical paper-specific note,current-cycle full text independently read and title-checked from the journal/arXiv version,paper-specific note ready for synthesis,6525,94,779c50ee1f43347fc0c72750ccfdd8e58d720d5d0992e6e95775f5d672df700b
78,notes/papers/0078.md,notes/original_sources/0078.md,current-cycle full-text remediation replacing prospective template text,current-cycle full text independently read and title-checked from the NeurIPS paper,paper-specific note ready for synthesis,2954,32,526f94615cbae803c077750864cbfb0cd44289d540ae2a0288fc99c1cecc7ad9
79,notes/papers/0079.md,notes/original_sources/0079.md,current-cycle full-text remediation replacing prospective template text,current-cycle full text independently read and title-checked from the complete paper,paper-specific note ready for synthesis,2977,32,94c65d8c96911816b87abf0bf0b06d4022d9ad4354d0ead9e869b8917ad6e477
80,notes/papers/0080.md,notes/original_sources/0080.md,current-cycle full-text remediation replacing prospective template text,current-cycle full text independently read and title-checked from the complete paper,paper-specific note ready for synthesis,3171,34,1642a1eb3c30e8335ffd6f014585555e51e5ff4234c0bdeee4cd78ffe0e72403
84,notes/papers/0084.md,notes/original_sources/0084.md,current-cycle full-text remediation replacing prospective template text,current-cycle full text independently read and title-checked from the ICCV paper,paper-specific note ready for synthesis,2537,30,56179d79d80a0d0384d32cf86194d4784b6166c49b683a5cbb3fc3e6224ab7b9
85,notes/papers/0085.md,notes/original_sources/0085.md,current-cycle full-text remediation replacing prospective template text,current-cycle full text independently read and title-checked from the EMNLP paper,paper-specific note ready for synthesis,2717,32,79b822f29c90923b21f4c3af409dc22f2d8adfe567a1191899ccff2e03efcc8b
86,notes/papers/0086.md,notes/original_sources/0086.md,current-cycle full-text remediation replacing prospective template text,current-cycle full text independently read and title-checked from the UIST/arXiv paper,paper-specific note ready for synthesis,2846,30,b4dfc1e4206c1ea81ace94a23466e69570554d635133beb092a381bd9a204abb
89,notes/papers/0089.md,notes/original_sources/0089.md,current-cycle full-text remediation replacing prospective template text,current-cycle full text independently read and title-checked from the complete paper,paper-specific note ready for synthesis,2677,30,6661a76f2274d3216ea57b7f37c16067bb523d68ac816056d1c56886ba2ab403
92,notes/papers/0092.md,notes/original_sources/0092.md,current-cycle full-text remediation replacing prospective template text,current-cycle full text independently read and title-checked from the NeurIPS/arXiv paper,paper-specific note ready for synthesis,2900,32,e8fb534a442c80955ea8d8f58840dd44af507d8818b9f4267ab81e6b8777ac54
94,notes/papers/0094.md,notes/original_sources/0094.md,current-cycle full-text remediation replacing prospective template text,current-cycle full text independently read and title-checked from the complete paper,paper-specific note ready for synthesis,2442,30,b438f4c34c0440f6b1955c980b7bccd11c40176a3079208902ee14c8b4021ec5
95,notes/papers/0095.md,notes/original_sources/0095.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,8696,227,8a151d98655fa619c61274e6165ee1127f4db51c9ae8eeb7fdd2813c46c8d7ed
96,notes/papers/0096.md,notes/original_sources/0096.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,8298,220,7e5848f96962540f777084a17c62133450917717927912dc720cc078aef11b54
98,notes/papers/0098.md,notes/original_sources/0098.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,8314,220,1ba2b2f1bd74edb663388f5fe3ee2ad95d42c45024cdbfccebe48e672a0baad4
102,notes/papers/0102.md,notes/original_sources/0102.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,8073,220,38967dfbc611438597b1b98d24aab3e0e226f036fd9542669089dce083b84e49
103,notes/papers/0103.md,notes/original_sources/0103.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,8165,216,0b6e1a3473714c58d8ec7e9b0b8cc06748c60c8f35dec378f91f1d66d2ebbd4e
114,notes/papers/0114.md,notes/original_sources/0114.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,7993,216,b3ae249e466a7569d374fcb7d5b386f647f0af03baa85fb0d55628080444ab0d
115,notes/papers/0115.md,notes/original_sources/0115.md,existing paper-specific note preserved after title and coverage audit,existing review archive audited; no current-cycle PDF verification,paper-specific note retained for synthesis,8414,220,8548ecdeb96215b4fe7d6b67c9db939fdacd33cdd66ff67b6292d464dae674e7
119,notes/papers/0119.md,notes/original_sources/0119.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,8031,216,fcfa8d5e79d81d5e25b148328062fbecde6d7352cbfa6925455c847e164c3a75
125,notes/papers/0125.md,notes/original_sources/0125.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,8364,220,ba09fb54f08f6262401be5fe09b250d3415cd614aee614b5b29dd20f7588e999
131,notes/papers/0131.md,notes/original_sources/0131.md,existing paper-specific note preserved after title and coverage audit,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,8504,216,ff8b7ab5b11ac42a258822933cc98792c2012eefc2f1fdc4ec959f4b929ec1da
147,notes/papers/0147.md,notes/original_sources/0147.md,existing paper-specific note preserved after title and coverage audit,existing review archive audited; no current-cycle PDF verification,paper-specific note retained for synthesis,8255,220,05092df3918d4f0b960ee6ed7c3275fca4a2c06aaa8eb30cdac19909bbf26163
157,notes/papers/0157.md,notes/original_sources/0157.md,existing paper-specific note preserved after title and coverage audit,existing review archive audited; no current-cycle PDF verification,paper-specific note retained for synthesis,7780,256,142960936fd2be3292bcc883be3e12ff9b66b9e41103234e188a44909757a39d
162,notes/papers/0162.md,notes/original_sources/0162.md,existing paper-specific note preserved after title and coverage audit,existing review archive audited; no current-cycle PDF verification,paper-specific note retained for synthesis,8367,220,d75254bd5acd3a8f39da0708d4d5fef16253546a6d35d512a5612d3844a477df
169,notes/papers/0169.md,notes/original_sources/0169.md,existing paper-specific note preserved after title and coverage audit,existing review archive audited; no current-cycle PDF verification,paper-specific note retained for synthesis,8333,220,93fbcf726c4bce2ff7b9a2a4bca4b04b8765db0f75892b2bd3a834b34f63a798
173,notes/papers/0173.md,notes/original_sources/0173.md,existing paper-specific note preserved after title and coverage audit,existing review archive audited; no current-cycle PDF verification,paper-specific note retained for synthesis,8478,220,66303a5f0c10a46f18bb3a1c83b2f1d0a517037336603dc8c886239f34f2640a
175,notes/papers/0175.md,notes/original_sources/0175.md,existing paper-specific note preserved after title and coverage audit,existing review archive audited; no current-cycle PDF verification,paper-specific note retained for synthesis,8316,220,dd6ba7db8e8f496be72843685decc0d126fe40eeeba4a80e0fef290491d2c102
176,notes/papers/0176.md,notes/original_sources/0176.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2751,26,7a9d188c60aa7957751685ea089e121c08aa48f3f6df8c8da411ed31fb4132de
181,notes/papers/0181.md,notes/original_sources/0181.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2423,26,4ad99ebc0e55930e1f640764ea43d667a367083a90950115d5a2bd83cdd1dc1b
182,notes/papers/0182.md,notes/original_sources/0182.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2372,26,13207c1634004f907500305cf2c85b88ef719b2defef16482f95d06bb4fa50cf
183,notes/papers/0183.md,notes/original_sources/0183.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2339,26,f53c71647e78155b25b99141f725d9359d355ff2d4a01af5311d812c4fcb1bc0
186,notes/papers/0186.md,notes/original_sources/0186.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2321,26,2d67030dea831f82ca0ce3ee8eecbbd930d3c6715a35a1c091b05cd922a491d0
187,notes/papers/0187.md,notes/original_sources/0187.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2240,26,866bc27e3074bc97f24c7281c636340ea0adacae65b9a6f715c2f034131ab652
188,notes/papers/0188.md,notes/original_sources/0188.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2166,26,2413e91514ee02b345f0e3c17af71ee386d8d85fff0aeea495082932a9109f14
189,notes/papers/0189.md,notes/original_sources/0189.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2181,26,0838de18273141d3ad086568f5247a0626efec6f6a90ffd6d74e25ac5b421546
190,notes/papers/0190.md,notes/original_sources/0190.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2096,26,3a63df5565ff83d63128e1514d24580966758c5d2483daace37febfd4754a151
191,notes/papers/0191.md,notes/original_sources/0191.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2291,26,1852a3fa3cefecd4341a524438dca553502986f9b3f91b4bfaac652366a527bb
192,notes/papers/0192.md,notes/original_sources/0192.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2088,26,797061126b982440a39cf59bbdda184f69a3391a684dea02c23b84350c279789
193,notes/papers/0193.md,notes/original_sources/0193.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2091,26,9ae5c6428df4411d3ee37d702e001b99d3c2ffdbfdf0764d5ae3befefdf9fe3f
194,notes/papers/0194.md,notes/original_sources/0194.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2143,26,7c166f69e3e92a9e1c80be27ef00de46cb7bfec04ebf11683f44ef2280940780
196,notes/papers/0196.md,notes/original_sources/0196.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2150,26,83ac8cdcad6d6cd3eac15c27e0623ae5b110ef19f739dc453d40e1417f9a8050
198,notes/papers/0198.md,notes/original_sources/0198.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2102,26,baa7eca71c6785657b7270b1a736608335afa4022f44cbf4d482d1365358882f
200,notes/papers/0200.md,notes/original_sources/0200.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2776,26,4387f1ab958a8bcc8c8a0e7cf4d81ab786ac23ed68cf203cea5ecb76421efd2a
201,notes/papers/0201.md,notes/original_sources/0201.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,1988,26,f512242848ab4a9f1857713ee4ae373cd8f1da1d2e2ffd05e3545abf9783881d
202,notes/papers/0202.md,notes/original_sources/0202.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,1988,26,8e98d8ed1979a97e974a6e74f6b1fd2a8b46b40b5eb0700e4454e65501a3dff5
203,notes/papers/0203.md,notes/original_sources/0203.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,1988,26,bd92c685b5d519f08a924453ab99c4b052e532262ff730e2d32c24bdc0567704
204,notes/papers/0204.md,notes/original_sources/0204.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2257,26,b13cbb2140a0bc9b9aa9f7655ee33a59736546f52848d13d5cf3b1b600eb26f3
207,notes/papers/0207.md,notes/original_sources/0207.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2076,26,fc94e932667d12edb2bbb6adb55d6be8165d8c4c21e8b695e2adb4921cd6c140
208,notes/papers/0208.md,notes/original_sources/0208.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,1892,26,fa5526ee26b02fa6c0c87da128d2cae241dfceb503d827b887b1a31736c64fb9
209,notes/papers/0209.md,notes/original_sources/0209.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,1962,26,bab7f5285657a58e0cc4a3fbe9bed66a31c2c9144c6ebee6bbdb836267017172
210,notes/papers/0210.md,notes/original_sources/0210.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,1999,26,63c296bdc2206e82537d6ab4e5e98d1f78bca428ead8115f677db00928105cd0
212,notes/papers/0212.md,notes/original_sources/0212.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2020,26,9f1d6f68c14475aa400082d0f84a3fb8246c10e61b1322148c2f6c6b53529d17
213,notes/papers/0213.md,notes/original_sources/0213.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2050,26,d2b4b4a8ddee699229a07841afc58326c5447b440b826a12fe1d75f0b9db7981
214,notes/papers/0214.md,notes/original_sources/0214.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,3121,27,c63a7ce0761a76789150cc0e5c06666a09e9fbc2663585e1a9bcf5c7299499fb
215,notes/papers/0215.md,notes/original_sources/0215.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,1958,26,1d86605193739140ea3641c43b8cdd187e9234761910cd2613e8e4786567985f
216,notes/papers/0216.md,notes/original_sources/0216.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,1867,26,4d3122770ed266d6814fcce6e5c09851cbe0787a8fd889b23488f0490907abe4
219,notes/papers/0219.md,notes/original_sources/0219.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2085,26,d8f5c1ad2faab9508db55ef65cd6917ef8d3452bb40f7e7f9eab5da3f1437286
220,notes/papers/0220.md,notes/original_sources/0220.md,current-cycle full-text remediation,current-cycle full text extracted and title-checked,paper-specific note ready for synthesis,2279,28,daa13af75d5ce57e74040e0d9425abcb500acb115364f5bac3388286611a4a25
